T_H_out,L,D_fr,V_0,AR,UA,dP_max,epsilon,Q_dot_diff,dP_H_diff,dP_C_diff,targetParameter,targetdP_max_Regen,Time
767.290430,0.180588,0.741905,0.078069,0.000000,500.015902,100.000000,0.102040,0.002076,-0.000047,0.000000,500.000000,100.000000,4.000000
767.654634,0.185974,0.706269,0.072859,0.000000,500.006923,125.000000,0.100943,0.002130,-0.000039,0.000001,500.000000,125.000000,4.000000
767.969094,0.190486,0.678462,0.068866,0.000000,500.000291,150.000000,0.099990,0.002182,-0.000031,0.000001,500.000000,150.000000,6.000000
768.247091,0.194385,0.655831,0.065665,0.000000,500.002724,175.000000,0.099142,0.002233,-0.000024,0.000002,500.000000,175.000000,7.000000
768.497080,0.197825,0.636856,0.063016,0.000000,500.011790,200.000000,0.098376,0.002283,-0.000031,0.000003,500.000000,200.000000,5.000000
768.724606,0.200912,0.620588,0.060772,0.000000,500.034835,225.000000,0.097674,0.002332,-0.000039,0.000004,500.000000,225.000000,4.000000
768.935000,0.203693,0.606383,0.058825,0.000000,500.000198,250.000000,0.097022,0.002381,-0.000046,0.000006,500.000000,250.000000,6.000000
769.129588,0.206252,0.593826,0.057122,0.000000,500.000670,275.000000,0.096415,0.002430,-0.000049,0.000008,500.000000,275.000000,5.000000
769.311250,0.208615,0.582595,0.055612,0.000000,500.001794,300.000000,0.095845,0.002479,-0.000046,0.000010,500.000000,300.000000,5.000000
765.949659,0.219248,0.779317,0.104581,0.000000,624.959068,100.000000,0.105929,0.001997,-0.000036,0.000000,625.000000,100.000000,8.000000
766.218039,0.225828,0.741844,0.097610,0.000000,625.022237,125.000000,0.105111,0.002044,-0.000037,0.000001,625.000000,125.000000,3.000000
766.449892,0.231321,0.712590,0.092254,0.000000,625.007715,150.000000,0.104399,0.002089,-0.000032,0.000001,625.000000,150.000000,4.000000
766.654526,0.236064,0.688785,0.087960,0.000000,625.000136,175.000000,0.103765,0.002134,-0.000027,0.000002,625.000000,175.000000,5.000000
766.838219,0.240250,0.668826,0.084407,0.000000,625.001114,200.000000,0.103192,0.002178,-0.000021,0.000003,625.000000,200.000000,4.000000
767.005278,0.244001,0.651715,0.081395,0.000000,625.004882,225.000000,0.102667,0.002222,-0.000019,0.000004,625.000000,225.000000,4.000000
767.158680,0.247406,0.636789,0.078794,0.000000,625.014998,250.000000,0.102181,0.002265,-0.000024,0.000006,625.000000,250.000000,5.000000
767.300552,0.250531,0.623593,0.076516,0.000000,625.040049,275.000000,0.101729,0.002308,-0.000029,0.000008,625.000000,275.000000,4.000000
767.433505,0.253394,0.611776,0.074485,0.000000,625.000191,300.000000,0.101302,0.002352,-0.000034,0.000010,625.000000,300.000000,6.000000
